2026-01-05 19:03:29 - INFO | 
2026-01-05 19:03:29 - INFO | -------------- START BIDSmapper ------------
2026-01-05 19:03:29 - INFO | >>> bidsmapper sourcefolder=/home/rflaherty/test_dicoms bidsfolder=/home/rflaherty/normabrain/bids bidsmap=bidsmap.yaml template=bidsmap_dccn plugins=[] subprefix=* sesprefix=* store=False force=False
2026-01-05 19:03:29 - INFO | No bidsmap file found: /home/rflaherty/normabrain/bids/code/bidscoin/bidsmap.yaml
2026-01-05 19:03:29 - INFO | Reading: /home/rflaherty/normabrain/bidsmap_dccn.yaml
2026-01-05 19:03:30 - INFO | Adding missing DICOM>anat>T1w bidsmap entity key: echo
2026-01-05 19:03:30 - INFO | Adding missing DICOM>anat>T1w bidsmap entity key: part
2026-01-05 19:03:30 - INFO | Adding missing DICOM>perf>noRF bidsmap entity key: mod
2026-01-05 19:03:30 - INFO | Checking the bidsmap run-items:
2026-01-05 19:03:30 - WARNING | Invalid run-item with suffix: "ihmt" (anat -> sub-unknown/ses-unknown/DICOM_anat_id026)
2026-01-05 19:03:30 - WARNING | Not all run-items in the bidsmap are valid
2026-01-05 19:03:30 - VERBOSE | Checking the template bidsmap datatypes:
2026-01-05 19:03:30 - INFO | Missing 'PDw' run-item in: bidsmap[PAR][anat] (NB: this may perhaps be fine / a deprecated item)
2026-01-05 19:03:30 - WARNING | Not all datatypes and options in the template bidsmap are valid
2026-01-05 19:03:30 - INFO | Mapping: /home/rflaherty/test_dicoms/20241022/91_0006_gremt-cs4-f4-fa10-1iso-ellip83-rr (subject 1/2)
2026-01-05 19:03:30 - INFO | Detected a flat data-structure in: /home/rflaherty/test_dicoms/20241022/91_0006_gremt-cs4-f4-fa10-1iso-ellip83-rr
2026-01-05 19:03:30 - INFO | Making temporary copy: /home/rflaherty/test_dicoms/20241022/91_0006_gremt-cs4-f4-fa10-1iso-ellip83-rr -> /tmp/tmpn9wk73ca/home/rflaherty/test_dicoms/20241022/91_0006_gremt-cs4-f4-fa10-1iso-ellip83-rr
2026-01-05 19:03:30 - INFO | >> Sorting: /tmp/tmpn9wk73ca/home/rflaherty/test_dicoms/20241022/91_0006_gremt-cs4-f4-fa10-1iso-ellip83-rr (3 files)
2026-01-05 19:03:30 - VERBOSE | [0%]   Creating:  /tmp/tmpn9wk73ca/home/rflaherty/test_dicoms/20241022/91_0006_gremt-cs4-f4-fa10-1iso-ellip83-rr/006-greMT_cs4_f4_FA10_1iso_ellip83_RR
2026-01-05 19:03:30 - VERBOSE | Executing plugin: dcm2niix2bids -> /tmp/tmpn9wk73ca/home/rflaherty/test_dicoms/20241022/91_0006_gremt-cs4-f4-fa10-1iso-ellip83-rr
2026-01-05 19:03:31 - INFO | Discovered sample: [DICOM] /tmp/tmpn9wk73ca/home/rflaherty/test_dicoms/20241022/91_0006_gremt-cs4-f4-fa10-1iso-ellip83-rr/006-greMT_cs4_f4_FA10_1iso_ellip83_RR/original-primary-m-none_e09_0001.dcm
2026-01-05 19:03:31 - VERBOSE | Executing plugin: events2bids -> /tmp/tmpn9wk73ca/home/rflaherty/test_dicoms/20241022/91_0006_gremt-cs4-f4-fa10-1iso-ellip83-rr
2026-01-05 19:03:31 - INFO | Mapping: /home/rflaherty/test_dicoms/20241022/91_0007_gremt-cs4-f100-fa6-1iso-ellip83-rr (subject 1/2)
2026-01-05 19:03:31 - INFO | Detected a flat data-structure in: /home/rflaherty/test_dicoms/20241022/91_0007_gremt-cs4-f100-fa6-1iso-ellip83-rr
2026-01-05 19:03:31 - INFO | Making temporary copy: /home/rflaherty/test_dicoms/20241022/91_0007_gremt-cs4-f100-fa6-1iso-ellip83-rr -> /tmp/tmp7qhqtpte/home/rflaherty/test_dicoms/20241022/91_0007_gremt-cs4-f100-fa6-1iso-ellip83-rr
2026-01-05 19:03:31 - INFO | >> Sorting: /tmp/tmp7qhqtpte/home/rflaherty/test_dicoms/20241022/91_0007_gremt-cs4-f100-fa6-1iso-ellip83-rr (3 files)
2026-01-05 19:03:31 - VERBOSE | [0%]   Creating:  /tmp/tmp7qhqtpte/home/rflaherty/test_dicoms/20241022/91_0007_gremt-cs4-f100-fa6-1iso-ellip83-rr/007-greMT_cs4_f100_FA6_1iso_ellip83_RR
2026-01-05 19:03:32 - VERBOSE | Executing plugin: dcm2niix2bids -> /tmp/tmp7qhqtpte/home/rflaherty/test_dicoms/20241022/91_0007_gremt-cs4-f100-fa6-1iso-ellip83-rr
2026-01-05 19:03:32 - INFO | Discovered sample: [DICOM] /tmp/tmp7qhqtpte/home/rflaherty/test_dicoms/20241022/91_0007_gremt-cs4-f100-fa6-1iso-ellip83-rr/007-greMT_cs4_f100_FA6_1iso_ellip83_RR/original-primary-m-none_e09_0001.dcm
2026-01-05 19:03:32 - VERBOSE | Executing plugin: events2bids -> /tmp/tmp7qhqtpte/home/rflaherty/test_dicoms/20241022/91_0007_gremt-cs4-f100-fa6-1iso-ellip83-rr
2026-01-05 19:03:32 - INFO | Mapping: /home/rflaherty/test_dicoms/20241022/91_0008_gremt-cs4-f100-fa10-1iso-ellip83-rr (subject 1/2)
2026-01-05 19:03:32 - INFO | Detected a flat data-structure in: /home/rflaherty/test_dicoms/20241022/91_0008_gremt-cs4-f100-fa10-1iso-ellip83-rr
2026-01-05 19:03:32 - INFO | Making temporary copy: /home/rflaherty/test_dicoms/20241022/91_0008_gremt-cs4-f100-fa10-1iso-ellip83-rr -> /tmp/tmp079b90x9/home/rflaherty/test_dicoms/20241022/91_0008_gremt-cs4-f100-fa10-1iso-ellip83-rr
2026-01-05 19:03:32 - INFO | >> Sorting: /tmp/tmp079b90x9/home/rflaherty/test_dicoms/20241022/91_0008_gremt-cs4-f100-fa10-1iso-ellip83-rr (3 files)
2026-01-05 19:03:32 - VERBOSE | [0%]   Creating:  /tmp/tmp079b90x9/home/rflaherty/test_dicoms/20241022/91_0008_gremt-cs4-f100-fa10-1iso-ellip83-rr/008-greMT_cs4_f100_FA10_1iso_ellip83_RR
2026-01-05 19:03:32 - VERBOSE | Executing plugin: dcm2niix2bids -> /tmp/tmp079b90x9/home/rflaherty/test_dicoms/20241022/91_0008_gremt-cs4-f100-fa10-1iso-ellip83-rr
2026-01-05 19:03:33 - INFO | Discovered sample: [DICOM] /tmp/tmp079b90x9/home/rflaherty/test_dicoms/20241022/91_0008_gremt-cs4-f100-fa10-1iso-ellip83-rr/008-greMT_cs4_f100_FA10_1iso_ellip83_RR/original-primary-m-none_e09_0001.dcm
2026-01-05 19:03:33 - VERBOSE | Executing plugin: events2bids -> /tmp/tmp079b90x9/home/rflaherty/test_dicoms/20241022/91_0008_gremt-cs4-f100-fa10-1iso-ellip83-rr
2026-01-05 19:03:33 - INFO | Mapping: /home/rflaherty/test_dicoms/20241022/91_0009_gremt-cs4-f100-fa25-1iso-ellip83-rr (subject 1/2)
2026-01-05 19:03:33 - INFO | Detected a flat data-structure in: /home/rflaherty/test_dicoms/20241022/91_0009_gremt-cs4-f100-fa25-1iso-ellip83-rr
